key,section,node,order,speaker,translation
# Language: 繁體中文 (zh-Hant)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,有人嗎？
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,您好！
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,喔嗨！那個……
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,聽說這裡有狗頭人可以幫我洗澡？
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,是這裡嗎？
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,嗯！我就是<i>那位</i>狗頭人！
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,是的，歡迎光臨 Drag'n wash！
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,哈哈，你確實是！
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,太好了！
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,我叫萊恩。那個……
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,我要怎麼進去呀？
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,請稍等，我去開門。
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,汪！
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,啊……？
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,喔——我是說。我去開門！
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,啊，我看到那個按鈕了，瞭解！
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,好，我等著。謝謝。
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,您好，<i>「Drag'n wash 223號加盟店」……</i>您和第一位顧客談過了嗎？
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,剛剛！
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,是的，已經談過了。
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,啊，很好。
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,……
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,那麼——祝您有個高效率的一天。
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,您好，<i>「Drag'n wash 223號加盟店」……</i>您弄清楚怎麼操作了嗎？
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,還沒。
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,我想我懂了！
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,啊……
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,那麼，請到窗口與您的顧客交談。
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,之後當然還需要讓他們進來。
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,很好。那麼請務必到窗口迎接您的顧客。
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,好的！
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,祝您有個高效率的一天。
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,所以你是有證照的洗龍師囉？
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,是的！
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,我才做了幾個星期！
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,喔真棒！
fbd8fe3b49aed7c5,L01 Ryan,Ryan_1_required,5,Ryan,我平常在家用水管沖一沖就算了……
3f742efbf9edb2ee,L01 Ryan,Ryan_1_required,6,Ryan,那對我們倆都是新體驗啦！
e6c276d67e994ed5,L01 Ryan,Ryan_1_required,7,Ryan,老實說，沒想到這麼舒服。
e99ba1a86146f1aa,L01 Ryan,Ryan_1_required,8,Ryan,能暫時逃離外面的一切，真好。
# --- nag: Ryan_1_nag ---
c2aa03c999eb7731,L01 Ryan,Ryan_1_nag,1,Ryan,嘿，我有話要說！
5b798fca0ab51d6c,L01 Ryan,Ryan_1_nag,2,Ryan,你能到我看得見的地方來嗎。
# --- jerkoff: ryan_jerk_off_no ---
2e75bb6a3610c11b,L01 Ryan,ryan_jerk_off_no,1,Ryan,嘿——也許晚點再「動手」？
# --- mount_start: ryan_mount_no ---
91c3bf04fb99ce8b,L01 Ryan,ryan_mount_no,1,Ryan,唔，坐架我就不用了。
# --- outro: Ryan_1_Outro ---
0d26aa953ca02c41,L01 Ryan,Ryan_1_Outro,1,Ryan,我應該全乾淨了！
699cdec6a62f5ff3,L01 Ryan,Ryan_1_Outro,2,Ryan,比用水管舒服多了。
c3bbf19f280c6dde,L01 Ryan,Ryan_1_Outro,3,Kobold,不客氣。
66984a1e53d3e869,L01 Ryan,Ryan_1_Outro,4,Kobold,嗯！隨時歡迎再來。
d629b0ed3f97727c,L01 Ryan,Ryan_1_Outro,6,Ryan,我一定會把這地方告訴別人
e12cf68db48908a3,L01 Ryan,Ryan_1_Outro,7,Ryan,我一定會記住這地方的。
29a9062b9b45c6ef,L01 Ryan,Ryan_1_Outro,8,Ryan,哈哈。也對你「汪」一個。
0712e97652e51758,L01 Ryan,Ryan_1_Outro,9,Ryan,我玩得很開心，那回頭見啦！
17f93a33eafe382c,L01 Ryan,Ryan_1_Outro,10,Ryan,能開門讓我出去嗎？
1aa7b1c1d5fb1fd6,L01 Ryan,Ryan_1_Outro,12,Ryan/Conrad/Kobold/Dragon,謝謝！

# ===== Level 2: Conrad (Sunny) =====
# --- intro: Conrad_Intro_1 ---
d391aece578e396f,L02 Conrad,Conrad_Intro_1,1,Conrad,"<gradient=""yellow - orange""><size=140%>嘿！ </gradient><size=100%>這裡是洗澡的地方吧？"
e2b71fbe0e3a8220,L02 Conrad,Conrad_Intro_1,2,Conrad,我得洗得一塵不染。看來你就是幹這個的。<size=70%> 哈。
198e07bd20a7e40b,L02 Conrad,Conrad_Intro_1,3,Kobold,嗯，這邊請。
d474060b980dd4bb,L02 Conrad,Conrad_Intro_1,4,Kobold,我們可以騰個位子。
6c70580a9b88273d,L02 Conrad,Conrad_Intro_1,5,Conrad,好。不過得先開門。讓康拉德進去！
# --- progress: Conrad_required_1 ---
87e002767e44df8e,L02 Conrad,Conrad_required_1,1,Conrad,那<size=90%>麼<size=80%>麼<size=70%>麼<size=60%>麼……<size=100%>我在想
2d6d31d664759240,L02 Conrad,Conrad_required_1,2,Conrad,你們這裡也做<i>特殊收尾</i>吧？
906e9b3e20a54dc2,L02 Conrad,Conrad_required_1,3,Kobold,我們這裡每次收尾都很特殊！
c41cb150dfd261d8,L02 Conrad,Conrad_required_1,4,Kobold,是說……那方面的事嗎？
0c503978e6cd3a78,L02 Conrad,Conrad_required_1,5,Conrad,呃……那不是——
c9ce0c4dd28236fa,L02 Conrad,Conrad_required_1,6,Conrad,你們這裡會讓大塊頭的龍，<size=60%>比如我，<size=100%>射出來嗎？
daac14e0bc00f0ad,L02 Conrad,Conrad_required_1,7,Kobold,哇——呃——<size=80%>喔。<size=60%>我們不——
824dda92c5ffbad9,L02 Conrad,Conrad_required_1,8,Kobold,喔，不做。
33cb9fb42cd6a080,L02 Conrad,Conrad_required_1,9,Conrad,什麼！？太扯了吧！你們連坐架都沒有……？
96b0e7561e23fcbb,L02 Conrad,Conrad_required_1,10,Kobold,呃……<size=60%>沒有？
175ccc13192756d4,L02 Conrad,Conrad_required_1,11,Conrad,那你最好弄一個！
fcc67c51c62fb4e9,L02 Conrad,Conrad_required_1,12,Conrad,至少你還能用手。嘿。
a29919179016a4e8,L02 Conrad,Conrad_required_1,13,Conrad,是喔？我連坐架都沒看見。
6ec80eb8deb5afd8,L02 Conrad,Conrad_required_1,14,Kobold,喔……對，我們沒有。
22706d3faee3b165,L02 Conrad,Conrad_required_1,15,Kobold,不，我們這裡不提供那種服務。
4a8d1297fbe8f246,L02 Conrad,Conrad_required_1,16,Conrad,真可惜。最好改一改。
# --- jerkoff: Conrad_1_JerkOff_Start ---
6d4db2b6b39822b2,L02 Conrad,Conrad_1_JerkOff_Start,1,Conrad,喔，幹，爽。
