key,section,node,order,speaker,translation
# Language: 한국어 (ko)
# Created by TomXV. Proofread by a native speaker, Hotcake (lines the game does not use were left as they were).
# Corrections are welcome as pull requests.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,저기요?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,안녕하세요!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"아, 안녕! 음..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,근처에 씻겨 줄 코볼트가 있다고 들었는데.
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,여기가 맞니?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,네! 제가 바로 <i>그</i> 코볼트예요!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"네, Drag'n Wash에 오신 걸 환영해요!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"하하, 그래보이네!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,훌륭하군요!
line:6046bedf,L01 Ryan,Ryan_1_intro,9,Ryan,잘됐다!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,난 라이언이야. 그래서...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,어떻게 들어가면 돼?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"잠깐만요, 문 열어 드릴게요."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,삐익!!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,응...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,그러니까... 문 열어 드릴게요!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"아, 저기 버튼이 보이네. 알겠어!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"그래, 기다리고 있을게. 고마워."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"여보세요, <i>'Drag'n Wash 223호점'...</i> 첫 손님과는 이야기를 나누셨습니까?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,방금 했어요!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"네, 했어요."
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,좋습니다.
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,그럼- 생산적인 하루 되십시오.
