key,section,node,order,speaker,translation

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,有人吗？
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,您好！
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,哦嗨！那个……
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,听说这儿有狗头人可以帮我洗澡？
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,是这儿吗？
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,嗯！我就是<i>那位</i>狗头人！
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,是的，欢迎来到 Drag'n wash！
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,哈哈，你确实是！
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,太好了！
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,我叫莱恩。那个……
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,我怎么进去呀？
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,请稍等，我去开门。
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,汪！
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,啊……？
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,哦——我是说。我去开门！
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,啊，我看到那个按钮了，明白！
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,好，我等着。谢谢。
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,您好，<i>“Drag'n wash 223号加盟店”……</i>您和第一位顾客交谈过了吗？
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,刚刚！
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,是的，已经谈过了。
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,啊，很好。
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,……
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,那么——祝您度过高效的一天。
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,您好，<i>“Drag'n wash 223号加盟店”……</i>您弄清楚如何操作了吗？
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,还没。
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,我想我明白了！
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,啊……
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,那么，请到窗口与您的顾客交谈。
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,之后当然还需要让他们进来。
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,很好。那么请务必到窗口迎接您的顾客。
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,好的！
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,祝您度过高效的一天。
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,所以你是持证的洗龙师呀？
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,是的！
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,我才干了几个星期！
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,哦真棒！
fbd8fe3b49aed7c5,L01 Ryan,Ryan_1_required,5,Ryan,我平时在家用水管冲冲就算了……
