key,section,node,order,speaker,translation
# Language: Español (es)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,¿Hola?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,¡Hola!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"¡Ah, hola! Eh..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,¿Me dijeron que aquí abajo había kóbolds que podían lavarme?
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,¿Es este el lugar correcto?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,¡Ajá! ¡Yo soy <i>el</i> kóbold!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"¡Sí, bienvenido a Drag'n wash!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"¡Jaja, desde luego que lo eres!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,¡Maravilloso!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,Me llamo Ryan. Bueno...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,¿cómo entro?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Espera un segundo, tengo que abrir la puerta."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,¡Yip!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,¿eh...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,Ah... digo. ¡Voy a abrir la puerta!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"Ah, ya veo el botón ahí. ¡Entendido!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Vale, aquí espero. Gracias."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Hola, <i>«franquicia Drag'n wash 223»...</i> ¿Ya ha hablado con su primer cliente?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,¡Justo ahora!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"Sí, ya lo hice."
