key,section,node,order,speaker,translation
# Language: Deutsch (de)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Hallo?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Hallo!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"Oh, hi! Ähm..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,"Ich hab gehört, hier unten gibt's Kobolde, die mich sauber waschen können?"
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,Bin ich hier richtig?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Mhm! Ich bin <i>der</i> Kobold!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Ja, willkommen bei Drag'n wash!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Haha, das bist du ganz sicher!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Wunderbar!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,Ich heiße Ryan. Also...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,wie komme ich rein?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Moment, ich muss das Tor aufmachen."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,Yip!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,Hä...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,"Oh, ich meine: Ich mach das Tor auf!"
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"Ah, ich seh den Knopf da, alles klar!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Okay, ich warte hier. Danke."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Hallo, <i>„Drag'n wash Franchise 223""...</i> Haben Sie schon mit Ihrem ersten Kunden gesprochen?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,Gerade eben!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"Ja, hab ich."
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,"Ah, gut."
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,Dann... einen produktiven Tag noch.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,"Hallo, <i>„Drag'n wash Franchise 223""...</i> Haben Sie schon herausgefunden, wie man interagiert?"
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,Nö.
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,"Ich glaub, ich hab's raus!"
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,Ah...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,"Nun, gehen Sie zum Fenster und sprechen Sie mit Ihrem Kunden."
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,Danach müssen Sie ihn natürlich hereinlassen.
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,Ausgezeichnet. Dann begrüßen Sie bitte Ihren Kunden am Fenster.
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,Okay!
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,Einen produktiven Tag noch.
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,"Du bist also ein zertifizierter Drachenwäscher, hm?"
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,Jep!
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,Ich wasche erst seit ein paar Wochen!
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,"Oh, cool!"
fbd8fe3b49aed7c5,L01 Ryan,Ryan_1_required,5,Ryan,Ich behelfe mich zu Hause meistens mit dem Gartenschlauch...
3f742efbf9edb2ee,L01 Ryan,Ryan_1_required,6,Ryan,"Oh, dann ist es für uns beide neu!"
e6c276d67e994ed5,L01 Ryan,Ryan_1_required,7,Ryan,"Ehrlich, ich bin überrascht, wie schön das hier ist."
e99ba1a86146f1aa,L01 Ryan,Ryan_1_required,8,Ryan,Eine nette Auszeit von allem da draußen.
# --- nag: Ryan_1_nag ---
c2aa03c999eb7731,L01 Ryan,Ryan_1_nag,1,Ryan,"Hey, ich muss dir was sagen!"
5b798fca0ab51d6c,L01 Ryan,Ryan_1_nag,2,Ryan,"Könntest du hochkommen, wo ich dich sehen kann?"
# --- jerkoff: ryan_jerk_off_no ---
2e75bb6a3610c11b,L01 Ryan,ryan_jerk_off_no,1,Ryan,"Hey... vielleicht kannst du später etwas mehr „Hand anlegen""?"
# --- mount_start: ryan_mount_no ---
91c3bf04fb99ce8b,L01 Ryan,ryan_mount_no,1,Ryan,"Hm, den Bock lass ich heute lieber aus."
# --- outro: Ryan_1_Outro ---
0d26aa953ca02c41,L01 Ryan,Ryan_1_Outro,1,Ryan,"Ich bin ziemlich sicher, dass ich ganz sauber bin!"
699cdec6a62f5ff3,L01 Ryan,Ryan_1_Outro,2,Ryan,Das war viel schöner als ein Schlauch.
c3bbf19f280c6dde,L01 Ryan,Ryan_1_Outro,3,Kobold,Gern geschehen.
66984a1e53d3e869,L01 Ryan,Ryan_1_Outro,4,Kobold,Mhm! Komm jederzeit wieder.
d629b0ed3f97727c,L01 Ryan,Ryan_1_Outro,6,Ryan,Ich werde diesen Laden auf jeden Fall weiterempfehlen.
e12cf68db48908a3,L01 Ryan,Ryan_1_Outro,7,Ryan,Ich merk mir diesen Ort auf jeden Fall.
29a9062b9b45c6ef,L01 Ryan,Ryan_1_Outro,8,Ryan,"Haha. „Yip"" auch an dich."
0712e97652e51758,L01 Ryan,Ryan_1_Outro,9,Ryan,"Tja, das hat Spaß gemacht, bis später dann!"
17f93a33eafe382c,L01 Ryan,Ryan_1_Outro,10,Ryan,"Machst du mir das Tor auf, damit ich raus kann?"
1aa7b1c1d5fb1fd6,L01 Ryan,Ryan_1_Outro,12,Ryan/Conrad/Kobold/Dragon,Danke!

# ===== Level 2: Conrad (Sunny) =====
# --- intro: Conrad_Intro_1 ---
d391aece578e396f,L02 Conrad,Conrad_Intro_1,1,Conrad,"<gradient=""yellow - orange""><size=140%>HEY! </gradient><size=100%>Das hier ist der Waschladen, ja?"
e2b71fbe0e3a8220,L02 Conrad,Conrad_Intro_1,2,Conrad,"Ich muss blitzblank werden. Scheint ja, dafür bist du da. <size=70%> Ha."
198e07bd20a7e40b,L02 Conrad,Conrad_Intro_1,3,Kobold,"Mhm, hier entlang."
d474060b980dd4bb,L02 Conrad,Conrad_Intro_1,4,Kobold,Wir können dir eine Öffnung freimachen.
6c70580a9b88273d,L02 Conrad,Conrad_Intro_1,5,Conrad,Nice. Musst aber erst das Tor aufmachen. Lass Conrad rein!
# --- progress: Conrad_required_1 ---
87e002767e44df8e,L02 Conrad,Conrad_required_1,1,Conrad,So<size=90%>o<size=80%>o<size=70%>o<size=60%>o... <size=100%>Ich hab mich gefragt...
2d6d31d664759240,L02 Conrad,Conrad_required_1,2,Conrad,"Ihr macht hier auch <i>besondere Abschlüsse</i>, ja?"
906e9b3e20a54dc2,L02 Conrad,Conrad_required_1,3,Kobold,Jeder Abschluss hier ist was Besonderes!
c41cb150dfd261d8,L02 Conrad,Conrad_required_1,4,Kobold,Also... so Sexkram?
0c503978e6cd3a78,L02 Conrad,Conrad_required_1,5,Conrad,Äh... das ist nicht...
c9ce0c4dd28236fa,L02 Conrad,Conrad_required_1,6,Conrad,"Bringst du große Drachen, <size=60%>so wie mich, <size=100%>hier zum Abspritzen?"
daac14e0bc00f0ad,L02 Conrad,Conrad_required_1,7,Kobold,Wah... hä... <size=80%>oah. <size=60%>wir machen nicht...
824dda92c5ffbad9,L02 Conrad,Conrad_required_1,8,Kobold,"Oh, nein."
33cb9fb42cd6a080,L02 Conrad,Conrad_required_1,9,Conrad,Was!? Das ist ja furchtbar! Ihr habt nicht mal einen Bock...?
96b0e7561e23fcbb,L02 Conrad,Conrad_required_1,10,Kobold,Ähm... <size=60%>nein?
175ccc13192756d4,L02 Conrad,Conrad_required_1,11,Conrad,"Na, dann besorg dir mal besser einen!"
fcc67c51c62fb4e9,L02 Conrad,Conrad_required_1,12,Conrad,Wenigstens kannst du noch deine Hände benutzen. Heh.
a29919179016a4e8,L02 Conrad,Conrad_required_1,13,Conrad,Ja? Ich seh nicht mal einen Bock.
6ec80eb8deb5afd8,L02 Conrad,Conrad_required_1,14,Kobold,"Oh... ja, wir haben keinen."
22706d3faee3b165,L02 Conrad,Conrad_required_1,15,Kobold,"Nein, so was bieten wir hier nicht an."
4a8d1297fbe8f246,L02 Conrad,Conrad_required_1,16,Conrad,Verdammt schade. Das solltest du besser ändern.
# --- jerkoff: Conrad_1_JerkOff_Start ---
6d4db2b6b39822b2,L02 Conrad,Conrad_1_JerkOff_Start,1,Conrad,"Oh, fuck ja."
8fc6411ffc04a8f3,L02 Conrad,Conrad_1_JerkOff_Start,2,Conrad,Mach weiter.
# --- cum: Conrad_1_Cum ---
e51f82fb1e4773ad,L02 Conrad,Conrad_1_Cum,1,Conrad,<size=140%> FUCK JA!
6d721d6e2ad2ae1c,L02 Conrad,Conrad_1_Cum,2,Conrad,<size=100%> Das hat sich verdammt gut angefühlt!
# --- mount_start: conrad_mount_no ---
b902443f60bdba87,L02 Conrad,conrad_mount_no,1,Conrad,Woah. Ähm.
ccdcfc48472b3533,L02 Conrad,conrad_mount_no,2,Conrad,Normalerweise würde ich zum Bock nicht Nein sagen. Aber jetzt grad nicht.
# --- outro: Conrad_Outro_1 ---
2edaf16ee5b742a8,L02 Conrad,Conrad_Outro_1,1,Conrad,Die Wäsche war okay.
882508b81f97e7cf,L02 Conrad,Conrad_Outro_1,2,Conrad,"Aber jede andere Waschanlage, in der ich war, hatte wenigstens einen Bock."
51335374627e92a3,L02 Conrad,Conrad_Outro_1,3,Kobold,Tut mir leid...
598e348ffe7cc978,L02 Conrad,Conrad_Outro_1,4,Kobold,"Ich bestell einen, versprochen!"
3eba607f0573bf98,L02 Conrad,Conrad_Outro_1,5,Conrad,Es muss dir nicht leidtun! Besorg dir einen Bock!
4e52b9a8b0ae1335,L02 Conrad,Conrad_Outro_1,6,Conrad,"Jeder Wäscher, der was auf sich hält, weiß, wie man einen Drachen befriedigt."
25d0b6008550c533,L02 Conrad,Conrad_Outro_1,7,Kobold,Okay. Ich bestelle einen Bock.
2e92d12d86bf03a5,L02 Conrad,Conrad_Outro_1,8,Conrad,"Gut. Alles klar, lass mich raus."
426726c5d08284a8,L02 Conrad,Conrad_Outro_1,9,Conrad,"Gut, das solltest du auch. Wenn ich wiederkomme und es keinen gibt..."
28c3830dac3b9c5b,L02 Conrad,Conrad_Outro_1,10,Kobold,Ist das eine Drohung...?
