key,section,node,order,speaker,translation
# Language: Polski (pl)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Halo?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Cześć!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"O, cześć! Eee..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,"Słyszałem, że tu na dole są koboldy, które mogłyby mnie umyć?"
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,Czy to tutaj?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Mhm! Ja jestem <i>tym</i> koboldem!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Tak, witamy w Drag'n wash!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Haha, nie da się ukryć!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Wspaniale!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,Mam na imię Ryan. No więc...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,jak mam wejść do środka?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Chwileczkę, muszę otworzyć bramę."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,Yip!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,hę...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,Oj... to znaczy: idę otworzyć bramę!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"A, widzę tam przycisk, jasne!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Dobra, poczekam. Dzięki."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Dzień dobry, <i>„Drag'n wash, franczyza 223”...</i> Czy rozmawiali państwo już z pierwszym klientem?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,Właśnie teraz!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"Tak, rozmawiałem."
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,"Ach, dobrze."
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,W takim razie... życzymy produktywnego dnia.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,"Dzień dobry, <i>„Drag'n wash, franczyza 223”...</i> Czy zorientowali się już państwo, jak wchodzić w interakcje?"
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,Nie.
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,Chyba już wiem!
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,Ach...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,Proszę zatem podejść do okienka i porozmawiać z klientem.
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,Potem oczywiście trzeba będzie go wpuścić.
