key,section,node,order,speaker,translation
# Language: Français (fr)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Il y a quelqu'un ?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Bonjour !
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"Oh, salut ! euh..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,On m'a dit qu'il y avait des kobolds par ici qui pouvaient me laver ?
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,C'est bien ici ?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Mhm ! Je suis <i>le</i> kobold !
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Oui, bienvenue chez Drag'n wash !"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Haha, ça, c'est sûr !"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Merveilleux !
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,"Moi, c'est Ryan. Alors..."
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,comment je rentre ?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Attends une seconde, il faut que j'ouvre le portail."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,Yip !
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,hein... ?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,Oh... je veux dire : je vais ouvrir le portail !
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"Ah, je vois le bouton, là. Compris !"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"D'accord, j'attends. Merci."
# --- phone: Ryan_1_PhoneTutorial ---
