key,section,node,order,speaker,translation
# Language: ไทย (th)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,สวัสดี?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,สวัสดี!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,อ้าว สวัสดี! เอ่อ...
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,ได้ยิน​มา​ว่า​แถว​นี้​มี​โค​บอลด์​ที่​ช่วย​ล้าง​ตัว​ให้ได้?
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,มา​ถูกที่​หรือเปล่า?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,ใช่​แล้ว! ฉัน​นี่แหละ <i>โค​บอลด์</i> คน​นั้น!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,ใช่ ยินดีต้อนรับ​สู่ Drag'n wash!
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,ฮ่า​ฮ่า ใช่​จริง ๆ ด้วย!
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,เยี่ยม​เลย!
line:6046bedf,L01 Ryan,Ryan_1_intro,9,Ryan,เยี่ยม​เลย!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,ฉัน​ชื่อ​ไร​อัน แล้ว...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,จะ​เข้าไป​ยังไง​ดี?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,รอ​แป๊บ​นะ ต้อง​เปิด​ประตู​ก่อน
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,ยิ๊บ!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,หา...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,อ๊ะ หมายถึง... จะ​ไป​เปิด​ประตู​ให้​เดี๋ยวนี้!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,อ้อ เห็น​ปุ่ม​ตรงนั้น​แล้ว เข้าใจ​แล้ว!
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,โอเค ฉัน​จะ​รอ​อยู่​ตรงนี้ ขอบใจ​นะ
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,สวัสดี <i>'แฟรนไชส์ Drag'n wash สาขา 223'...</i> คุย​กับ​ลูกค้า​คน​แรก​หรือยัง?
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,เพิ่ง​คุย​เสร็จ!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,คุย​แล้ว
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,อ้อ ดี
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,งั้น​ก็... ขอให้​เป็น​วันที่​ได้​งาน​ได้การ
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,สวัสดี <i>'แฟรนไชส์ Drag'n wash สาขา 223'...</i> รู้​วิธี​ใช้งาน​สิ่ง​ต่าง ๆ หรือยัง?
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,ยังเลย
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,น่าจะ​เข้าใจ​แล้ว!
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,อ้า...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,งั้น​ไป​ที่​ช่อง​หน้าต่าง​แล้ว​คุย​กับ​ลูกค้า​ซะ
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,หลังจากนั้น​ก็​ต้อง​เปิด​ให้​เขา​เข้ามา​ด้วย​แน่นอน
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,ดีมาก งั้น​อย่า​ลืม​ไป​ทักทาย​ลูกค้า​ที่​ช่อง​หน้าต่าง​ล่ะ
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,โอเค!
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,ขอให้​เป็น​วันที่​ได้​งาน​ได้การ
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,นาย​เป็น​ช่าง​ล้าง​มังกร​มี​ใบรับรอง​สิ​นะ?
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,ใช่​แล้ว!
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,เพิ่ง​ล้าง​มา​ได้​ไม่​กี่​สัปดาห์​เอง!
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,โอ้ เจ๋ง!
fbd8fe3b49aed7c5,L01 Ryan,Ryan_1_required,5,Ryan,ปกติ​ฉัน​ใช้​สายยาง​ฉีด​เอา​ที่​บ้า​น...
3f742efbf9edb2ee,L01 Ryan,Ryan_1_required,6,Ryan,อ้อ งั้น​ก็​ใหม่​สำหรับ​เรา​ทั้งคู่​เลย!
e6c276d67e994ed5,L01 Ryan,Ryan_1_required,7,Ryan,พูด​ตรง ๆ แปลกใจ​ที่​มันดี​ขนาด​นี้
e99ba1a86146f1aa,L01 Ryan,Ryan_1_required,8,Ryan,ได้​หลีกหนี​จาก​ทุกอย่าง​ข้างนอก​นั่น​สักพัก ดี​จัง
# --- nag: Ryan_1_nag ---
c2aa03c999eb7731,L01 Ryan,Ryan_1_nag,1,Ryan,นี่ ฉัน​มีเรื่อง​จะ​พูด!
5b798fca0ab51d6c,L01 Ryan,Ryan_1_nag,2,Ryan,ช่วย​ขึ้น​มา​ตรง​ที่​ฉัน​มองเห็น​หน่อย​ได้​ไหม
# --- jerkoff: ryan_jerk_off_no ---
