key,section,node,order,speaker,translation
# Language: Português (Brasil) (pt-BR)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Olá?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Olá!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"Ah, oi! hum.."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,Ouvi dizer que tinha kobolds aqui embaixo que podiam me dar um banho?
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,É aqui mesmo?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Aham! Eu sou <i>o</i> kobold!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Sim, bem-vindo ao Drag'n wash!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Haha, é mesmo!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Maravilha!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,Meu nome é Ryan. Então...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,como é que eu entro?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Só um segundo, preciso abrir o portão."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,Yip!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,hã...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,Ah- quer dizer. Vou abrir o portão!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"Ah, tô vendo o botão ali, saquei!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Beleza, vou esperar. Valeu."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Alô, <i>'Franquia Drag'n wash 223'...</i> Já falou com o seu primeiro cliente?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,Acabei de falar!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"Sim, já falei."
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,"Ah, ótimo."
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,Então- Tenha um dia produtivo.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,"Alô, <i>'Franquia Drag'n wash 223'...</i> Já descobriu como interagir?"
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,Não.
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,Acho que já entendi!
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,Ah...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,"Bem, vá até a janela e fale com o seu cliente."
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,"Depois será preciso deixá-lo entrar, é claro."
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,Excelente. Então não deixe de ir cumprimentar o seu cliente na janela.
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,Tá bom!
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,Tenha um dia produtivo.
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,"Então você é um lavador de dragões certificado, é?"
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,Sou!
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,Só faz umas semanas que eu comecei a lavar!
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,"Ah, legal!"
