key,section,node,order,speaker,translation
# Language: toki pona (tok)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,toki?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,toki a!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"a, toki! n..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,mi kute e ni: jan lili li lon anpa ni. ona li ken telo e mi.
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,ni li ma pona anu seme?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,n a! mi li <i>jan lili</i> a!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,lon. o kama pona tawa tomo Telo Akula!
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,a a! lon a! sina jan lili a!
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,ni li pona mute a!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,mi jan Lajan. n...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,mi kama insa kepeken nasin seme?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,o awen lili. mi wile open e lupa.
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,jip!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,seme...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,a- mi wile toki e ni: mi tawa open e lupa!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"a, mi lukin e nena. mi sona!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,pona. mi awen. sina pona.
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,toki. <i>ni li tomo Telo Akula nanpa 223...</i> sina toki ala toki tawa jan esun nanpa wan sina?
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,mi pini toki a!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,lon. mi toki tawa ona.
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,a. pona.
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,ni la- o pali pona lon tenpo suno ni.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,toki. <i>ni li tomo Telo Akula nanpa 223...</i> sina sona ala sona e nasin pali?
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,ala.
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,mi sona a!
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,a...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,ni la o tawa lupa lukin. o toki tawa jan esun sina.
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,tenpo kama la sina wile open e lupa tawa ona.
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,pona mute. ni la o tawa lupa lukin. o toki pona tawa jan esun sina.
