key,section,node,order,speaker,translation
# Language: Esperanto (eo)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Saluton?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Saluton!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"Ho, saluton! Nu..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,"Mi aŭdis, ke ĉi tie malsupre estas koboldoj, kiuj povus lavi min?"
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,Ĉu ĉi tiu estas la ĝusta loko?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Mhm! Mi estas <i>la</i> koboldo!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Jes, bonvenon al Drag'n wash!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Haha, tio vi certe estas!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Mirinde!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,Mia nomo estas Ryan. Do...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,kiel mi eniras?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Momenton, mi devas malfermi la pordegon."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,Jip!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,he...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,Ho- mi volis diri: mi iros malfermi la pordegon!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"Ha, mi vidas la butonon tie, komprenite!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Bone, mi atendos. Dankon."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Saluton, <i>'Drag'n wash franĉizo 223'...</i> Ĉu vi jam parolis kun via unua kliento?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,Ĵus faris!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"Jes, mi parolis."
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,"Ha, bone."
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,Do- Havu produktivan tagon.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,"Saluton, <i>'Drag'n wash franĉizo 223'...</i> Ĉu vi jam eltrovis kiel interagi?"
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,Ne.
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,"Mi kredas, ke mi komprenis!"
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,Ha...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,"Nu, iru al la fenestro kaj parolu kun via kliento."
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,"Poste vi devos enlasi ilin, kompreneble."
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,Bonege. Do nepre iru saluti vian klienton ĉe la fenestro.
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,Bone!
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,Havu produktivan tagon.
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,"Do vi estas atestita drak-lavisto, ĉu?"
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,Jes ja!
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,Mi purigas nur de kelkaj semajnoj!
