key,section,node,order,speaker,translation
# Language: עברית (he)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,הלו?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,שלום!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"אה, היי! אממ.."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,שמעתי שיש פה למטה קובולדים שיכולים לרחוץ אותי?
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,זה המקום הנכון?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,אהמ! אני <i>הקובולד</i>!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"כן, ברוך הבא לדראג'ן וואש!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"חחח, אין ספק שכן!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,נהדר!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,קוראים לי ריאן. אז...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,איך נכנסים?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"רגע אחד, אני צריך לפתוח את השער."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,יפ!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,הא...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,אה- כלומר. אני הולך לפתוח את השער!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"אה, אני רואה שם את הכפתור, הבנתי!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"אוקיי, אני מחכה. תודה."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"שלום, <i>'זכיינות דראג'ן וואש מספר מאתיים עשרים ושלוש'...</i> האם כבר שוחחת עם הלקוח הראשון שלך?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,בדיוק עכשיו!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"כן, שוחחתי."
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,"אה, יפה."
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,אם כך- שיהיה לך יום פורה.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,"שלום, <i>'זכיינות דראג'ן וואש מספר מאתיים עשרים ושלוש'...</i> האם כבר הבנת איך לבצע פעולות?"
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,לא ממש.
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,נראה לי שהבנתי!
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,אה...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,"ובכן, גש אל החלון ושוחח עם הלקוח שלך."
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,לאחר מכן תצטרך כמובן להכניס אותו פנימה.
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,מצוין. אם כך הקפד לקבל את פני הלקוח שלך בחלון.
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,אוקיי!
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,שיהיה לך יום פורה.
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,"אז אתה רוחץ דרקונים מוסמך, הא?"
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,בדיוק!
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,אני מנקה רק כמה שבועות!
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,"אה, מגניב!"
fbd8fe3b49aed7c5,L01 Ryan,Ryan_1_required,5,Ryan,בדרך כלל אני מסתדר עם צינור בבית...
3f742efbf9edb2ee,L01 Ryan,Ryan_1_required,6,Ryan,"אה, אז זה חדש לשנינו!"
e6c276d67e994ed5,L01 Ryan,Ryan_1_required,7,Ryan,"בכנות, אני מופתע כמה שזה נעים."
e99ba1a86146f1aa,L01 Ryan,Ryan_1_required,8,Ryan,זו בריחה נעימה מכל מה שיש שם בחוץ.
# --- nag: Ryan_1_nag ---
c2aa03c999eb7731,L01 Ryan,Ryan_1_nag,1,Ryan,"היי, יש לי משהו להגיד!"
5b798fca0ab51d6c,L01 Ryan,Ryan_1_nag,2,Ryan,אם תוכל לבוא לאן שאני יכול לראות אותך.
# --- jerkoff: ryan_jerk_off_no ---
2e75bb6a3610c11b,L01 Ryan,ryan_jerk_off_no,1,Ryan,היי- אולי נעבור ל'עבודת ידיים' אחר כך?
# --- mount_start: ryan_mount_no ---
91c3bf04fb99ce8b,L01 Ryan,ryan_mount_no,1,Ryan,"הממ, נראה לי שאוותר על המתקן."
# --- outro: Ryan_1_Outro ---
0d26aa953ca02c41,L01 Ryan,Ryan_1_Outro,1,Ryan,אני די בטוח שאני נקי לגמרי!
699cdec6a62f5ff3,L01 Ryan,Ryan_1_Outro,2,Ryan,זה היה הרבה יותר נעים מצינור.
c3bbf19f280c6dde,L01 Ryan,Ryan_1_Outro,3,Kobold,בשמחה רבה.
66984a1e53d3e869,L01 Ryan,Ryan_1_Outro,4,Kobold,אהמ! תחזור מתי שתרצה.
d629b0ed3f97727c,L01 Ryan,Ryan_1_Outro,6,Ryan,אני אדאג לספר לאחרים על המקום הזה
e12cf68db48908a3,L01 Ryan,Ryan_1_Outro,7,Ryan,אני בהחלט אזכור את המקום הזה.
29a9062b9b45c6ef,L01 Ryan,Ryan_1_Outro,8,Ryan,חחח. 'יפ' גם לך.
0712e97652e51758,L01 Ryan,Ryan_1_Outro,9,Ryan,"טוב, נהניתי, אז נתראה!"
17f93a33eafe382c,L01 Ryan,Ryan_1_Outro,10,Ryan,אכפת לך לפתוח את השער כדי שאצא?
1aa7b1c1d5fb1fd6,L01 Ryan,Ryan_1_Outro,12,Ryan/Conrad/Kobold/Dragon,תודה!

# ===== Level 2: Conrad (Sunny) =====
# --- intro: Conrad_Intro_1 ---
d391aece578e396f,L02 Conrad,Conrad_Intro_1,1,Conrad,"<gradient=""yellow - orange""><size=140%>היי! </gradient><size=100%>זה מקום הרחיצה, נכון?"
e2b71fbe0e3a8220,L02 Conrad,Conrad_Intro_1,2,Conrad,אני צריך להיות נקי כמו חדש. נראה שבשביל זה אתם פה. <size=70%> חה.
198e07bd20a7e40b,L02 Conrad,Conrad_Intro_1,3,Kobold,"אהמ, מכאן בבקשה."
d474060b980dd4bb,L02 Conrad,Conrad_Intro_1,4,Kobold,נוכל לפנות לך מקום.
6c70580a9b88273d,L02 Conrad,Conrad_Intro_1,5,Conrad,יופי. רק תפתח את השער. תכניס את קונרד!
# --- progress: Conrad_required_1 ---
87e002767e44df8e,L02 Conrad,Conrad_required_1,1,Conrad,אז<size=90%>ז<size=80%>ז<size=70%>ז<size=60%>ז... <size=100%>תהיתי לי
2d6d31d664759240,L02 Conrad,Conrad_required_1,2,Conrad,"אתם עושים פה גם <i>סיומים מיוחדים</i>, נכון?"
906e9b3e20a54dc2,L02 Conrad,Conrad_required_1,3,Kobold,כל סיום כאן הוא מיוחד!
c41cb150dfd261d8,L02 Conrad,Conrad_required_1,4,Kobold,כאילו... דברים מיניים?
0c503978e6cd3a78,L02 Conrad,Conrad_required_1,5,Conrad,אה... זה לא-
