key,section,node,order,speaker,translation
# Language: Русский (ru)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Эй? Есть кто?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Привет!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"О, привет! эм.."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,"Я слышал, тут внизу есть кобольды, которые могут меня помыть?"
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,Я по адресу?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Ага! Я и есть <i>тот самый</i> кобольд!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Да, добро пожаловать в Drag'n wash!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Ха-ха, это точно!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Чудесно!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,Меня зовут Райан. Так...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,как мне зайти?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Секундочку, мне нужно открыть ворота."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,Yip!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,а...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,Ой... в смысле. Я пойду открою ворота!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"А, вижу там кнопку, понял!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Ладно, я подожду. Спасибо."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Здравствуйте, <i>«Франшиза Drag'n wash 223»...</i> Вы уже поговорили с вашим первым клиентом?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,Только что!
