key,section,node,order,speaker,translation
# Language: Tiếng Việt (vi)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Có ai không?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Chào!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"Ồ, chào! Ừm..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,Nghe nói dưới này có kobold tắm rửa cho rồng được?
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,Có đúng chỗ không nhỉ?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Đúng rồi! Tớ chính là <i>con</i> kobold đó!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Đúng vậy, chào mừng đến Drag'n wash!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Haha, đúng là cậu rồi!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Tuyệt vời!
line:6046bedf,L01 Ryan,Ryan_1_intro,9,Ryan,Tuyệt vời!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,Mình tên Ryan. Vậy...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,mình vào bằng cách nào?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Đợi chút, tớ phải mở cổng đã."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,Yip!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,hả...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,À... ý tớ là. Tớ đi mở cổng đây!
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"À, thấy cái nút đằng kia rồi, hiểu rồi!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Được, mình đợi. Cảm ơn nhé."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Xin chào, <i>'Chi nhánh Drag'n wash 223'...</i> Bạn đã nói chuyện với khách hàng đầu tiên chưa?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,Vừa xong!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"Rồi, nói rồi."
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,"À, tốt."
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,Vậy thì... Chúc một ngày làm việc hiệu quả.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,"Xin chào, <i>'Chi nhánh Drag'n wash 223'...</i> Bạn đã biết cách thao tác với đồ vật chưa?"
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,Chưa.
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,Chắc là hiểu rồi!
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,À...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,Vậy thì ra cửa sổ và nói chuyện với khách hàng đi.
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,Sau đó dĩ nhiên là phải cho họ vào.
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,Rất tốt. Vậy nhớ ra cửa sổ chào khách hàng nhé.
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,Được!
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,Chúc một ngày làm việc hiệu quả.
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,Vậy cậu là thợ tắm rồng có chứng chỉ hả?
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,Đúng vậy!
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,Mới làm được vài tuần thôi!
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,"Ồ, hay đấy!"
fbd8fe3b49aed7c5,L01 Ryan,Ryan_1_required,5,Ryan,Bình thường mình chỉ xịt vòi ở nhà cho xong...
3f742efbf9edb2ee,L01 Ryan,Ryan_1_required,6,Ryan,"Ồ, vậy là mới với cả hai chúng ta!"
e6c276d67e994ed5,L01 Ryan,Ryan_1_required,7,Ryan,"Thật lòng, mình ngạc nhiên là ở đây dễ chịu thế này."
e99ba1a86146f1aa,L01 Ryan,Ryan_1_required,8,Ryan,"Được tránh xa mọi thứ ngoài kia một chút, thích thật."
# --- nag: Ryan_1_nag ---
c2aa03c999eb7731,L01 Ryan,Ryan_1_nag,1,Ryan,"Này, mình có chuyện muốn nói!"
5b798fca0ab51d6c,L01 Ryan,Ryan_1_nag,2,Ryan,Cậu lên chỗ nào mình nhìn thấy được đi.
# --- jerkoff: ryan_jerk_off_no ---
2e75bb6a3610c11b,L01 Ryan,ryan_jerk_off_no,1,Ryan,Này... Để chuyện 'ra tay' sau được không?
# --- mount_start: ryan_mount_no ---
91c3bf04fb99ce8b,L01 Ryan,ryan_mount_no,1,Ryan,"Hừm, cái bệ thì mình xin bỏ qua."
# --- outro: Ryan_1_Outro ---
0d26aa953ca02c41,L01 Ryan,Ryan_1_Outro,1,Ryan,Chắc chắn là sạch bong rồi!
699cdec6a62f5ff3,L01 Ryan,Ryan_1_Outro,2,Ryan,Dễ chịu hơn xịt vòi nhiều.
c3bbf19f280c6dde,L01 Ryan,Ryan_1_Outro,3,Kobold,Không có gì đâu.
66984a1e53d3e869,L01 Ryan,Ryan_1_Outro,4,Kobold,Ừ! Lúc nào quay lại cũng được nhé.
d629b0ed3f97727c,L01 Ryan,Ryan_1_Outro,6,Ryan,Mình sẽ kể cho mọi người về chỗ này.
e12cf68db48908a3,L01 Ryan,Ryan_1_Outro,7,Ryan,Mình nhất định sẽ nhớ chỗ này.
29a9062b9b45c6ef,L01 Ryan,Ryan_1_Outro,8,Ryan,Haha. 'Yip' lại cho cậu nè.
0712e97652e51758,L01 Ryan,Ryan_1_Outro,9,Ryan,"Vui lắm, vậy hẹn gặp lại nhé!"
17f93a33eafe382c,L01 Ryan,Ryan_1_Outro,10,Ryan,Mở cổng cho mình ra được không?
1aa7b1c1d5fb1fd6,L01 Ryan,Ryan_1_Outro,12,Ryan/Conrad/Kobold/Dragon,Cảm ơn!

# ===== Level 2: Conrad (Sunny) =====
# --- intro: Conrad_Intro_1 ---
