key,section,node,order,speaker,translation
# Language: Українська (uk)
# Created by TomXV. Provisional translation, not reviewed by a native speaker:
# some lines may read unnaturally. Corrections are welcome as pull requests.
# Only the Japanese (ja) and Simplified Chinese (zh-Hans) files were supervised by the author.

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Агов?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Привіт!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,"О, привіт! Ем..."
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,"Я чув, тут є кобольди, які можуть мене помити?"
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,Я туди потрапив?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Ага! Я і є <i>той самий</i> кобольд!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Так, ласкаво просимо до Drag'n wash!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Ха-ха, так і є!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Чудово!
line:6046bedf,L01 Ryan,Ryan_1_intro,9,Ryan,Чудово!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,Мене звати Раян. Тож...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,як мені зайти?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Секунду, треба відчинити ворота."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,Тяв!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,га...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,"Ой, тобто... Зараз відчиню ворота!"
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"А, бачу там кнопку, зрозумів!"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Гаразд, я почекаю. Дякую."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Алло, <i>«Франшиза Drag'n wash 223»...</i> Ви вже поговорили зі своїм першим клієнтом?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,Щойно!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,"Так, поговорив."
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,"А, добре."
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,Тоді... Продуктивного вам дня.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,"Алло, <i>«Франшиза Drag'n wash 223»...</i> Ви вже розібралися, як взаємодіяти з речами?"
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,Ні.
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,"Здається, розібрався!"
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,Ах...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,"Що ж, підійдіть до віконця й поговоріть із клієнтом."
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,"Потім його, звісно, треба буде впустити."
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,Чудово. Тоді не забудьте привітати клієнта біля віконця.
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,Гаразд!
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,Продуктивного вам дня.
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,"То ти сертифікований мийник драконів, га?"
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,Ага!
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,Мию всього кілька тижнів!
9b9024cada67653e,L01 Ryan,Ryan_1_required,4,Ryan,"О, круто!"
fbd8fe3b49aed7c5,L01 Ryan,Ryan_1_required,5,Ryan,Я зазвичай обходжуся шлангом удома...
3f742efbf9edb2ee,L01 Ryan,Ryan_1_required,6,Ryan,"О, то це новеньке для нас обох!"
e6c276d67e994ed5,L01 Ryan,Ryan_1_required,7,Ryan,"Чесно кажучи, я здивований, як тут приємно."
e99ba1a86146f1aa,L01 Ryan,Ryan_1_required,8,Ryan,"Гарний спосіб відпочити від усього, що там зовні."
# --- nag: Ryan_1_nag ---
c2aa03c999eb7731,L01 Ryan,Ryan_1_nag,1,Ryan,"Гей, я хочу дещо сказати!"
5b798fca0ab51d6c,L01 Ryan,Ryan_1_nag,2,Ryan,"Підійди туди, де я тебе бачу."
# --- jerkoff: ryan_jerk_off_no ---
2e75bb6a3610c11b,L01 Ryan,ryan_jerk_off_no,1,Ryan,"Слухай... Може, «руками» займешся пізніше?"
# --- mount_start: ryan_mount_no ---
91c3bf04fb99ce8b,L01 Ryan,ryan_mount_no,1,Ryan,"Хм, від маунта, мабуть, відмовлюся."
# --- outro: Ryan_1_Outro ---
0d26aa953ca02c41,L01 Ryan,Ryan_1_Outro,1,Ryan,"Я, здається, повністю чистий!"
699cdec6a62f5ff3,L01 Ryan,Ryan_1_Outro,2,Ryan,Це було набагато приємніше за шланг.
c3bbf19f280c6dde,L01 Ryan,Ryan_1_Outro,3,Kobold,Будь ласка.
66984a1e53d3e869,L01 Ryan,Ryan_1_Outro,4,Kobold,"Ага! Приходь, коли захочеш."
d629b0ed3f97727c,L01 Ryan,Ryan_1_Outro,6,Ryan,Я обов'язково розповім іншим про це місце.
e12cf68db48908a3,L01 Ryan,Ryan_1_Outro,7,Ryan,Я точно запам'ятаю це місце.
29a9062b9b45c6ef,L01 Ryan,Ryan_1_Outro,8,Ryan,Ха-ха. І тобі «тяв».
0712e97652e51758,L01 Ryan,Ryan_1_Outro,9,Ryan,"Що ж, було чудово, до зустрічі!"
17f93a33eafe382c,L01 Ryan,Ryan_1_Outro,10,Ryan,"Відчиниш ворота, щоб мене випустити?"
1aa7b1c1d5fb1fd6,L01 Ryan,Ryan_1_Outro,12,Ryan/Conrad/Kobold/Dragon,Дякую!

# ===== Level 2: Conrad (Sunny) =====
# --- intro: Conrad_Intro_1 ---
d391aece578e396f,L02 Conrad,Conrad_Intro_1,1,Conrad,"<gradient=""yellow - orange""><size=140%>ГЕЙ! </gradient><size=100%>Це тут миють, так?"
e2b71fbe0e3a8220,L02 Conrad,Conrad_Intro_1,2,Conrad,"Мені треба сяяти чистотою. Схоже, ти саме для цього. <size=70%> Ха."
198e07bd20a7e40b,L02 Conrad,Conrad_Intro_1,3,Kobold,"Ага, сюди, будь ласка."
d474060b980dd4bb,L02 Conrad,Conrad_Intro_1,4,Kobold,Ми можемо відчинити.
6c70580a9b88273d,L02 Conrad,Conrad_Intro_1,5,Conrad,Добре. Але ворота треба відчинити. Впусти Конрада!
# --- progress: Conrad_required_1 ---
87e002767e44df8e,L02 Conrad,Conrad_required_1,1,Conrad,Та-а<size=90%>а<size=80%>а<size=70%>а<size=60%>ак... <size=100%>Цікаво було
2d6d31d664759240,L02 Conrad,Conrad_required_1,2,Conrad,"Тут ще й <i>особливі фінали</i> роблять, так?"
906e9b3e20a54dc2,L02 Conrad,Conrad_required_1,3,Kobold,Тут кожен фінал особливий!
c41cb150dfd261d8,L02 Conrad,Conrad_required_1,4,Kobold,Типу... щось сексуальне?
0c503978e6cd3a78,L02 Conrad,Conrad_required_1,5,Conrad,Е-е... Це не...
c9ce0c4dd28236fa,L02 Conrad,Conrad_required_1,6,Conrad,"Ви доводите великих драконів, <size=60%>як я, <size=100%>до оргазму?"
daac14e0bc00f0ad,L02 Conrad,Conrad_required_1,7,Kobold,Ва... га... <size=80%>оу. <size=60%>ми не...
824dda92c5ffbad9,L02 Conrad,Conrad_required_1,8,Kobold,"О, ні."
33cb9fb42cd6a080,L02 Conrad,Conrad_required_1,9,Conrad,Що!? Це жахливо! У вас навіть маунта нема...?
96b0e7561e23fcbb,L02 Conrad,Conrad_required_1,10,Kobold,ем... <size=60%>нема?
175ccc13192756d4,L02 Conrad,Conrad_required_1,11,Conrad,Ну то краще заведіть!
fcc67c51c62fb4e9,L02 Conrad,Conrad_required_1,12,Conrad,Хоч руки в тебе є. Хе.
a29919179016a4e8,L02 Conrad,Conrad_required_1,13,Conrad,Так? Я маунта не бачу.
6ec80eb8deb5afd8,L02 Conrad,Conrad_required_1,14,Kobold,"Ой... так, у нас його немає."
22706d3faee3b165,L02 Conrad,Conrad_required_1,15,Kobold,"Ні, такого ми тут не пропонуємо."
4a8d1297fbe8f246,L02 Conrad,Conrad_required_1,16,Conrad,Шкода. Краще це змінити.
# --- jerkoff: Conrad_1_JerkOff_Start ---
6d4db2b6b39822b2,L02 Conrad,Conrad_1_JerkOff_Start,1,Conrad,"О, чорт, так."
8fc6411ffc04a8f3,L02 Conrad,Conrad_1_JerkOff_Start,2,Conrad,Не зупиняйся.
# --- cum: Conrad_1_Cum ---
e51f82fb1e4773ad,L02 Conrad,Conrad_1_Cum,1,Conrad,"<size=140%> ЧОРТ, ТАК!"
6d721d6e2ad2ae1c,L02 Conrad,Conrad_1_Cum,2,Conrad,<size=100%> Як же добре було!
# --- mount_start: conrad_mount_no ---
b902443f60bdba87,L02 Conrad,conrad_mount_no,1,Conrad,Воу. Ем.
ccdcfc48472b3533,L02 Conrad,conrad_mount_no,2,Conrad,Зазвичай я б від маунта не відмовився. Але не зараз.
# --- outro: Conrad_Outro_1 ---
2edaf16ee5b742a8,L02 Conrad,Conrad_Outro_1,1,Conrad,Помили нормально.
882508b81f97e7cf,L02 Conrad,Conrad_Outro_1,2,Conrad,"Хоча в усіх інших мийках, де я був, хоч маунт є."
51335374627e92a3,L02 Conrad,Conrad_Outro_1,3,Kobold,Вибач...
598e348ffe7cc978,L02 Conrad,Conrad_Outro_1,4,Kobold,"Обіцяю, замовлю!"
3eba607f0573bf98,L02 Conrad,Conrad_Outro_1,5,Conrad,Не вибачайся! Заведи маунт!
4e52b9a8b0ae1335,L02 Conrad,Conrad_Outro_1,6,Conrad,"Кожен мийник, що себе поважає, вміє догодити дракону."
25d0b6008550c533,L02 Conrad,Conrad_Outro_1,7,Kobold,Гаразд. Замовлю маунт.
2e92d12d86bf03a5,L02 Conrad,Conrad_Outro_1,8,Conrad,"Добре. Ну, випускай мене."
426726c5d08284a8,L02 Conrad,Conrad_Outro_1,9,Conrad,"Добре, дивись мені. Якщо повернуся, а його нема..."
28c3830dac3b9c5b,L02 Conrad,Conrad_Outro_1,10,Kobold,Це погроза...?
fac432bdcfb4b753,L02 Conrad,Conrad_Outro_1,11,Conrad,"Ем, ні, я просто буду ДУЖЕ засмучений."
ee7433c3dd161b65,L02 Conrad,Conrad_Outro_1,12,Conrad,Коротше... Випускай мене.

# ===== Level 3: Alexander (Sunny) =====
# --- intro: Alexander_1_intro ---
dbca31128a900488,L03 Alexander,Alexander_1_intro,1,Alexander,"Добрий вечір. Цей заклад приймає без запису, чи не так?"
a6208f4370193b60,L03 Alexander,Alexander_1_intro,2,Kobold,Так! Ви... з коледжу...?
fdf9d60aca05c19e,L03 Alexander,Alexander_1_intro,4,Alexander,"Саме так, ви, певно, впізнали мій герб! Я викладаю алхімію."
12456a9c2599222e,L03 Alexander,Alexander_1_intro,5,Alexander,"... Заняття, яке я веду вже зовсім скоро."
cccd2e909950ad59,L03 Alexander,Alexander_1_intro,6,Alexander,Чудово.
f5b90500599eaa0a,L03 Alexander,Alexander_1_intro,7,Alexander,Мені потрібно швидко: студенти самі себе не навчать.
26f8788d21d9fd7d,L03 Alexander,Alexander_1_intro,8,Kobold,Ніколи не мив дракона-викладача... воу.
7cc55c8bb6442b93,L03 Alexander,Alexander_1_intro,9,Kobold,"Гаразд, відчиняю ворота!"
c9b9bda16ee1d468,L03 Alexander,Alexander_1_intro,10,Alexander,Професора... Але так. Я зазвичай не ходжу до публічних мийок.
8569efc4ed5a6273,L03 Alexander,Alexander_1_intro,11,Alexander/Ryan,Дякую.
57c2b1f349d8b9e9,L03 Alexander,Alexander_1_intro,12,Alexander,"О, і перепрошую, що я такий геть брудний."
c44510120d3f5f7e,L03 Alexander,Alexander_1_intro,13,Alexander,"Прикрий стан, у якому я опинився..."
550840616bc8148d,L03 Alexander,Alexander_1_intro,14,Kobold,Ви... не такий уже й брудний.
21e1f6bc71429bdb,L03 Alexander,Alexander_1_intro,15,Kobold,Без проблем. Зараз відчиню вам ворота!
14ddfac745bc0ec3,L03 Alexander,Alexander_1_intro,16,Alexander,"Ні, такий."
65b94d53036df4ac,L03 Alexander,Alexander_1_intro,18,Alexander,Чи не відчините ворота?
f602395a77ff68c4,L03 Alexander,Alexander_1_intro,19,Kobold,О. так. Вибачте.
# --- progress: Alexander_1_required ---
8bb197f659df9e12,L03 Alexander,Alexander_1_required,1,Alexander,Знаєте... Тут доволі приємно. Дуже... по-пролетарськи.
c3971608b1a13f1b,L03 Alexander,Alexander_1_required,2,Kobold,проле... <i><size=70%>шо?
3afdda2c098fc834,L03 Alexander,Alexander_1_required,3,Kobold/Alexander/Ryan,Дякую!
90d6678c9549b1e0,L03 Alexander,Alexander_1_required,4,Alexander,"О, тобто... по-робітничому?"
55c80016618e1bc5,L03 Alexander,Alexander_1_required,5,Alexander,"Вибачте, я хотів сказати, що мені подобається ваша мийка."
02fa2a9691178177,L03 Alexander,Alexander_1_required,6,Alexander,Звісно
32e117cdd1f56f3f,L03 Alexander,Alexander_1_required,7,Alexander,"Хто б знав, що такі місця так легко доступні широкому загалу!"
# --- jerkoff: alexander_jerk_off_no ---
f33ca08a17779409,L03 Alexander,alexander_jerk_off_no,1,Alexander,"<i>О.</i> Не думаю, що я вже до цього готовий."
# --- mount_start: alexander_mount_no ---
170ebd10775afd58,L03 Alexander,alexander_mount_no,1,Alexander,"Я... не певен, що хочу скористатися цим сьогодні."
# --- outro: Alexander_1_Outro ---
d202075090a8960b,L03 Alexander,Alexander_1_Outro,1,Alexander,"Мушу визнати, ви впоралися не гірше за приватних мийників."
b6069e62e167364f,L03 Alexander,Alexander_1_Outro,3,Kobold,"Ага, я завжди стараюся."
981447d1952fe850,L03 Alexander,Alexander_1_Outro,4,Alexander,"Ха-ха, і справді «тяв»."
5d7279822bcee7dd,L03 Alexander,Alexander_1_Outro,5,Alexander,Моїм студентам було б чого повчитися у вашого ставлення до роботи!
8117291ab8529b4f,L03 Alexander,Alexander_1_Outro,6,Alexander,"Я б залюбки поговорив ще, справді, але скоро заняття."
dae0c0aa3ae01c37,L03 Alexander,Alexander_1_Outro,7,Alexander,...Дякую вам за це.

# ===== Level 4: Ryan (Sunny) =====
# --- intro: Ryan_2_intro ---
