key,section,node,order,speaker,translation

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,もしもし？
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,こんにちは！
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,あ、どうも！ えっと……
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,この辺に、洗ってくれるコボルドがいるって聞いたんだけど？
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,ここで合ってる？
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,ええ！ 私が<i>その</i>コボルドですよ！
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,はい、Drag'n washへようこそ！
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,はは、確かにそうみたいだね！
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,素晴らしい！
line:6046bedf,L01 Ryan,Ryan_1_intro,9,Ryan,よかった！
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,僕はライアン。それで……
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,どうやって入ればいいの？
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,ちょっと待ってくださいね、ゲートを開けますから。
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,イップ！
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,えっ……？
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,あっ——じゃなくて。ゲートを開けてきますね！
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,ああ、あそこにボタンがあるんだね、了解！
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,うん、待ってるね。ありがとう。
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,もしもし、<i>「Drag'n wash フランチャイズ223号店」</i>……最初のお客様とはもうお話しされましたか？
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,今ちょうど！
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,はい、しました。
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,ああ、結構です。
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,……
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,では——実りある一日を。
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,もしもし、<i>「Drag'n wash フランチャイズ223号店」</i>……操作の仕方はもうお分かりになりましたか？
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,いいえ。
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,わかったと思います！
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,ああ……
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,では、窓口へ行ってお客様とお話しください。
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,その後は、当然ながらお客様を中へお通しください。
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,結構です。では、必ず窓口でお客様をお迎えください。
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,わかりました！
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,実りある一日を。
# --- progress: Ryan_1_required ---
098ac93ca7999f8c,L01 Ryan,Ryan_1_required,1,Ryan,君って、認定ドラゴン洗い師なんだね？
7b999e621945fe90,L01 Ryan,Ryan_1_required,2,Kobold,はい！
1cb7709c2b6cdc0b,L01 Ryan,Ryan_1_required,3,Kobold,洗い屋を始めてまだ数週間なんです！
